n=2 nu=4,2,2,0 N=12: deg 50 (homogeneous 50) a1:18 a2:18 a1-a2:11 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=4,2,2,1 N=13: deg 61 (homogeneous 61) a1:21 a2:21 a1-a2:15 | rest 4, deg gcd(R,R')=0, factors: 1^1 1^1 2^1 | SQUAREFREE
n=2 nu=4,2,2,2 N=14: deg 72 (homogeneous 72) a1:24 a2:24 a1-a2:21 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
n=2 nu=4,2,3,-1 N=12: deg 47 (homogeneous 47) a1:15 a2:20 a1-a2:9 | rest 3, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 | SQUAREFREE
n=2 nu=4,2,3,0 N=13: deg 59 (homogeneous 59) a1:19 a2:23 a1-a2:11 | rest 6, deg gcd(R,R')=0, factors: 1^1 2^1 3^1 | SQUAREFREE
n=2 nu=4,2,3,1 N=14: deg 71 (homogeneous 71) a1:23 a2:26 a1-a2:15 | rest 7, deg gcd(R,R')=0, factors: 1^1 1^1 5^1 | SQUAREFREE
n=2 nu=4,2,3,2 N=15: deg 83 (homogeneous 83) a1:27 a2:29 a1-a2:21 | rest 6, deg gcd(R,R')=0, factors: 2^1 4^1 | SQUAREFREE
n=2 nu=4,2,4,-1 N=13: deg 55 (homogeneous 55) a1:15 a2:25 a1-a2:9 | rest 6, deg gcd(R,R')=0, factors: 6^1 | SQUAREFREE
n=2 nu=4,2,4,0 N=14: deg 68 (homogeneous 68) a1:20 a2:28 a1-a2:11 | rest 9, deg gcd(R,R')=0, factors: 3^1 6^1 | SQUAREFREE
n=2 nu=4,2,4,1 N=15: deg 81 (homogeneous 81) a1:25 a2:31 a1-a2:15 | rest 10, deg gcd(R,R')=0, factors: 1^1 1^1 1^1 7^1 | SQUAREFREE
n=2 nu=4,2,4,2 N=16: deg 94 (homogeneous 94) a1:30 a2:34 a1-a2:21 | rest 9, deg gcd(R,R')=0, factors: 1^1 1^1 7^1 | SQUAREFREE
n=2 nu=4,3,-1,-1 N=9: deg 20 (homogeneous 20) a1:20 a2:0 a1-a2:0 | rest 0, deg gcd(R,R')=0, factors: | SQUAREFREE
n=2 nu=4,3,0,-1 N=10: deg 29 (homogeneous 29) a1:20 a2:5 a1-a2:1 | rest 3, deg gcd(R,R')=0, factors: 1^1 2^1 | SQUAREFREE
